監督名,年度,チーム,大会,試合数,勝,分,負,成績,URL
青野　慎也,-,-,-,-,-,-,-,16,https://data.j-league.or.jp/SFIX07/?staff_id=2790
青野　慎也,2025,愛媛,J2,16,2,4,10,20位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2790
秋田　豊,20,3,15,1,0,0,1,42,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2010,京都,J1,20,2,3,15,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2020,岩手,J3,34,11,9,14,11位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2021,岩手,J3,28,15,8,5,2位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2022,岩手,J2,42,9,7,26,22位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2025,高知,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋田　豊,2025,高知,J3,28,8,7,13,16位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3261
秋葉　忠宏,33,11,12,7,2,1,4,283,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2013,群馬,J2,42,9,13,20,20位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2014,群馬,J2,42,14,7,21,18位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2020,水戸,J2,42,16,10,16,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2021,水戸,J2,42,16,11,15,10位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2022,水戸,J2,42,14,12,16,13位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2023,清水,YLC,4,1,1,2,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2023,清水,J2,35,20,9,6,4位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2024,清水,YLC,1,0,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2024,清水,J2,38,26,4,8,優勝/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2025,清水,J1,33,10,11,12,12位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3856
秋葉　忠宏,2025,清水,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3856
浅野　哲也,15,2,9,-,-,-,-,21,https://data.j-league.or.jp/SFIX07/?staff_id=3014
浅野　哲也,2011,福岡,J1,15,4,2,9,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3014
浅野　哲也,2016,鹿児島,J3,30,15,5,10,5位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3014
浅野　哲也,2017,長野,J3,32,13,11,8,5位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3014
浅野　哲也,2018,長野,J3,12,2,6,4,10位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3014
浅野　哲也,2024,鹿児島,J2,21,4,4,13,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3014
アジウソン,47,4,19,6,2,1,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=2960
アジウソン,2006,磐田,J1,23,13,3,7,5位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2960
アジウソン,2007,磐田,J1,24,11,1,12,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2960
アジウソン,2007,磐田,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2960
アスカルゴルタ,49,-,15,10,3,1,6,-,https://data.j-league.or.jp/SFIX07/?staff_id=782
アスカルゴルタ,1997,横浜Ｍ,J,16,11,-,5,5位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=782
アスカルゴルタ,1997,横浜Ｍ,J,16,12,-,4,3位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=782
アスカルゴルタ,1997,横浜M,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=782
アスカルゴルタ,1998,横浜Ｍ,J,17,11,-,6,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=782
アスカルゴルタ,1998,横浜M,YNC,4,1,0,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=782
東　泰,-,-,-,-,-,-,-,9,https://data.j-league.or.jp/SFIX07/?staff_id=2584
東　泰,2006,徳島,J2,9,2,3,4,13位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2584
足達　勇輔,-,-,-,-,-,-,-,45,https://data.j-league.or.jp/SFIX07/?staff_id=1570
足達　勇輔,2005,横浜FC,J2,44,10,15,19,11位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1570
足達　勇輔,2006,横浜FC,J2,1,0,0,1,優勝/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1570
安達　亮,37,12,13,9,4,1,4,58,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2012,神戸,J1,3,1,0,2,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2012,神戸*2,YNC,1,0,0,1,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2013,神戸,J2,42,25,8,9,2位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2014,神戸,J1,34,11,12,11,11位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2014,神戸,YNC,8,4,1,3,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2018,富山,J3,22,10,5,7,11位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2019,富山,J3,34,16,10,8,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2020,富山,J3,34,15,5,14,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
安達　亮,2025,富山,J2,16,3,3,10,18位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=65
アフシン　ゴトビ,119,27,46,27,13,2,12,-,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2011,清水,J1,34,11,12,11,10位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2011,清水,YNC,4,2,0,2,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2012,清水,J1,34,14,7,13,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2012,清水,YNC,11,7,0,4,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2013,清水,J1,34,15,5,14,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2013,清水,YNC,6,1,2,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2014,清水,J1,17,6,3,8,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3915
アフシン　ゴトビ,2014,清水,YNC,6,3,0,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3915
天野　賢一,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=4058
天野　賢一,2022,北九州,J3,34,11,7,16,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4058
天野　賢一,2024,岐阜,J3,20,8,3,9,8位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4058
雨野　裕介,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=8121
アマル　オシム,56,6,30,9,5,1,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=2520
アマル　オシム,2006,千葉,J1,22,8,0,14,11位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2520
アマル　オシム,2006,千葉,YNC,3,2,1,0,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=2520
アマル　オシム,2007,千葉,J1,34,12,6,16,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2520
アマル　オシム,2007,千葉,YNC,6,3,0,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2520
有馬　賢二,-,-,-,-,-,-,-,126,https://data.j-league.or.jp/SFIX07/?staff_id=2558
有馬　賢二,2014,YS横浜,J3,33,4,12,17,12位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2558
有馬　賢二,2015,YS横浜,J3,36,7,6,23,13位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2558
有馬　賢二,2019,岡山,J2,42,18,11,13,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2558
有馬　賢二,2020,岡山,J2,42,12,14,16,17位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2558
有馬　賢二,2021,岡山,J2,42,15,14,13,11位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2558
アルベル,51,11,21,11,3,3,5,84,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2020,新潟,J2,42,14,15,13,11位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2021,新潟,J2,42,18,14,10,6位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2022,FC東京,J1,34,14,7,13,6位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2022,FC東京,YLC,6,1,2,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2023,FC東京,J1,17,5,4,8,11位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベル,2023,FC東京,YLC,5,2,1,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=13930
アルベルト,13,4,7,3,0,0,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=2411
アルベルト,2004,Ｃ大阪,J1,13,2,4,7,16位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2411
アルベルト,2004,Ｃ大阪,YNC,3,0,0,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2411
アレックス　ミラー,40,13,15,11,4,3,4,-,https://data.j-league.or.jp/SFIX07/?staff_id=3357
アレックス　ミラー,2008,千葉,J1,21,8,6,7,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3357
アレックス　ミラー,2008,千葉,YNC,5,2,1,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3357
アレックス　ミラー,2009,千葉,J1,19,4,7,8,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3357
アレックス　ミラー,2009,千葉,YNC,6,2,2,2,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3357
アレッシャンドレ　ガーロ,17,3,8,6,0,2,4,-,https://data.j-league.or.jp/SFIX07/?staff_id=2802
アレッシャンドレ　ガーロ,2006,Ｆ東京,J1,17,6,3,8,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2802
アレッシャンドレ　ガーロ,2006,Ｆ東京,YNC,6,0,2,4,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2802
アンジェ　ポステコグルー,118,18,42,28,14,9,5,-,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2018,横浜FM,J1,34,12,5,17,12位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2018,横浜FM,YLC,13,7,4,2,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2019,横浜FM,J1,34,22,4,8,優勝/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2019,横浜FM,YLC,6,2,2,2,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2020,横浜FM,J1,34,14,5,15,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2020,横浜FM,YLC,2,1,0,1,準決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2021,横浜FM,J1,16,10,4,2,2位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アンジェ　ポステコグルー,2021,横浜FM,YLC,7,4,3,0,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11104
アントニーニョ,41,7,17,4,2,0,2,-,https://data.j-league.or.jp/SFIX07/?staff_id=263
アントニーニョ,1995,柏,J,26,14,-,12,5位/14チーム,https://data.j-league.or.jp/SFIX07/?staff_id=263
アントニーニョ,2004,清水,J1,15,3,7,5,11位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=263
アントニーニョ,2004,清水,YNC,4,2,0,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=263
アントネッティ,37,0,23,6,3,0,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=1199
アントネッティ,1998,Ｇ大阪,J,5,3,-,2,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1199
アントネッティ,1998,Ｇ大阪,J,17,5,-,12,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1199
アントネッティ,1998,Ｇ大阪,YNC,4,2,0,2,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1199
アントネッティ,1999,Ｇ大阪,J1,15,6,0,9,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1199
アントネッティ,1999,Ｇ大阪,YNC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1199
安間　貴義,9,4,4,1,1,0,0,267,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2008,甲府,J2,42,15,14,13,7位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2009,甲府,J2,51,28,13,10,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2010,富山,J2,9,2,2,5,18位/19チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2011,富山,J2,38,11,10,17,16位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2012,富山,J2,42,9,11,22,19位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2013,富山,J2,42,11,11,20,18位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2014,富山,J2,42,5,8,29,22位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2016,Ｆ東23,J3,18,4,5,9,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2017,FC東京,J1,9,1,4,4,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2018,Ｆ東23,J3,32,10,6,16,14位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2021,岐阜,J3,28,12,5,11,6位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2023,FC東京,YLC,1,1,0,0,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2611
安間　貴義,2025,磐田,J2,1,1,0,0,8位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2611
ア・デモス,15,1,9,2,1,0,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=1506
